# 第二表
# 一、同音代替字
取	取.er2
娶	娶.er2
趣	趣.er2
最	最.er2
撮	撮.er2
耻	耻.er2
耽	耽.er2
耿	耿.er2
聆	聆.er2
职	职.er2
联	联.er2
聘	聘.er2
聪	聪.er2
洱	洱.er2
饵	饵.er2
弭	弭.er2
聂	聂.er2
摄	摄.er2
镊	镊.er2
蹑	蹑.er2
揖	揖.er2
缉	缉.er2
楫	楫.er2
辑	辑.er2
茸	茸.er2
耸	耸.er2
聋	聋.er2
闻	闻.er2
斛	斛.er2
触	触.er2
桷	桷.er2
确	确.er2
懈	懈.er2
蟹	蟹.er2
舰	舰.er2
航	航.er2
舷	舷.er2
舵	舵.er2
舸	舸.er2
舶	舶.er2
船	船.er2
艄	艄.er2
般	般.er2
搬	搬.er2
瘢	瘢.er2
磐	磐.er2
雯	雯.er2
零	零.er2
雾	雾.er2
雹	雹.er2
雷	雷.er2
擂	擂.er2
镭	镭.er2
需	需.er2
懦	懦.er2
糯	糯.er2
震	震.er2
霄	霄.er2
霉	霉.er2
霖	霖.er2
霎	霎.er2
霍	霍.er2
霓	霓.er2
露	露.er2
酃	酃.er2
剃	剃.er2
梯	梯.er2
锑	锑.er2
递	递.er2
敲	敲.er2
搞	搞.er2
槁	槁.er2
犒	犒.er2
稿	稿.er2
镐	镐.er2
蒿	蒿.er2
篙	篙.er2
刻	刻.er2
该	该.er2
咳	咳.er2
孩	孩.er2
骇	骇.er2
核	核.er2
赅	赅.er2
骸	骸.er2
阂	阂.er2
谏	谏.er2
楝	楝.er2
飘	飘.er2
瓢	瓢.er2
漂	漂.er2
膘	膘.er2
瞟	瞟.er2
镖	镖.er2
鳔	鳔.er2
腰	腰.er2
期	期.er2
欺	欺.er2
斯	斯.er2
嘶	嘶.er2
撕	撕.er2
厮	厮.er2
淇	淇.er2
祺	祺.er2
棋	棋.er2
琪	琪.er2
基	基.er2
箕	箕.er2
旗	旗.er2
躬	躬.er2
躯	躯.er2
躲	躲.er2
躺	躺.er2
射	射.er2
谢	谢.er2
榭	榭.er2
嫁	嫁.er2
稼	稼.er2
寐	寐.er2
豺	犲
豹	犳
貂	㹦
貉	狢
撅	抉
橛	㭈
獗	㹟
蹶	趹
镧	镧.er2
廷	𨑳
挺	挺.er2
延	𨒂
涎	涎.er2
蜒	蜒.er2
筵	筵.er2
犍	犍.er2
毽	毽.er2
补	䃼
初	𥘉
衬	𥘑
衫	𥘎
袄	祅
袜	𥘯
袒	𥘵
袖	䄂
袍	𫀆
被	𬒳
裆	裆.er2
裕	𥙿
裙	𬒽
裱	𬒾
褂	褂.er2
裸	祼
褪	褪.er2
褛	褛.er2
褶	褶.er2
朝	䢁
嘲	嘲.er2
潮	潮.er2
戟	戟.er2
翰	翰.er2
撩	𢩪
獠	獠.er2
缭	缭.er2
博	博.er2
搏	搏.er2
膊	膊.er2
缚	缚.er2
薄	薄.er2
摘	摘.er2
嘀	嘀.er2
滴	滴.er2
